V1,V2,V3
22.799043062201,44.8307692307692,342
22.9665071770335,44.8307692307692,283
23.133971291866,44.8307692307692,224
23.3014354066986,44.8307692307692,241
23.4688995215311,44.8307692307692,201
23.6363636363636,44.8307692307692,206
23.8038277511962,44.8307692307692,271
23.9712918660287,44.8307692307692,301
24.1387559808612,44.8307692307692,266
24.3062200956938,44.8307692307692,295
24.4736842105263,44.8307692307692,232
24.6411483253589,44.8307692307692,318
24.8086124401914,44.8307692307692,308
24.9760765550239,44.8307692307692,298
25.1435406698565,44.8307692307692,251
25.311004784689,44.8307692307692,225
25.4784688995215,44.8307692307692,212
25.6459330143541,44.8307692307692,205
25.8133971291866,44.8307692307692,169
25.9808612440191,44.8307692307692,145
26.1483253588517,44.8307692307692,122
26.3157894736842,44.8307692307692,106
26.4832535885167,44.8307692307692,75
26.6507177033493,44.8307692307692,64
26.8181818181818,44.8307692307692,58
26.9856459330144,44.8307692307692,60
27.1531100478469,44.8307692307692,56
27.3205741626794,44.8307692307692,49
27.488038277512,44.8307692307692,43
27.6555023923445,44.8307692307692,36
27.822966507177,44.8307692307692,19
27.9904306220096,44.8307692307692,6
28.1578947368421,44.8307692307692,9
28.3253588516746,44.8307692307692,35
28.4928229665072,44.8307692307692,195
28.6602870813397,44.8307692307692,241
28.8277511961723,44.8307692307692,109
28.9952153110048,44.8307692307692,22
29.1626794258373,44.8307692307692,-3
29.3301435406699,44.8307692307692,-6
29.4976076555024,44.8307692307692,-9
29.6650717703349,44.8307692307692,-12
29.8325358851675,44.8307692307692,-34
30,44.8307692307692,-48
-5,44.6615384615385,-4823
-4.83253588516746,44.6615384615385,-4604
-4.66507177033493,44.6615384615385,-4412
-4.49760765550239,44.6615384615385,-4276
-4.33014354066986,44.6615384615385,-4101
-4.16267942583732,44.6615384615385,-4184
-3.99521531100478,44.6615384615385,-4151
-3.82775119617225,44.6615384615385,-4051
-3.66028708133971,44.6615384615385,-3863
-3.49282296650718,44.6615384615385,-3652
-3.32535885167464,44.6615384615385,-2656
-3.15789473684211,44.6615384615385,-2159
-2.99043062200957,44.6615384615385,-2069
-2.82296650717703,44.6615384615385,-2167
-2.6555023923445,44.6615384615385,-2308
-2.48803827751196,44.6615384615385,-1917
-2.32057416267943,44.6615384615385,-784
-2.15311004784689,44.6615384615385,-402
-1.98564593301435,44.6615384615385,-124
-1.81818181818182,44.6615384615385,-68
-1.65071770334928,44.6615384615385,-52
-1.48325358851675,44.6615384615385,-41
-1.31578947368421,44.6615384615385,-7
-1.14832535885167,44.6615384615385,19
-0.980861244019138,44.6615384615385,40
-0.813397129186603,44.6615384615385,72
-0.645933014354067,44.6615384615385,64
-0.47846889952153,44.6615384615385,55
-0.311004784688995,44.6615384615385,61
-0.143540669856459,44.6615384615385,49
0.0239234449760772,44.6615384615385,56
0.191387559808613,44.6615384615385,64
0.358851674641149,44.6615384615385,79
0.526315789473685,44.6615384615385,94
0.69377990430622,44.6615384615385,111
0.861244019138756,44.6615384615385,117
1.02870813397129,44.6615384615385,215
1.19617224880383,44.6615384615385,250
1.36363636363636,44.6615384615385,241
1.5311004784689,44.6615384615385,290
1.69856459330144,44.6615384615385,347
1.86602870813397,44.6615384615385,304
2.03349282296651,44.6615384615385,300
2.20095693779904,44.6615384615385,299
2.36842105263158,44.6615384615385,422
2.53588516746412,44.6615384615385,512
2.70334928229665,44.6615384615385,553
2.87081339712919,44.6615384615385,703
3.03827751196172,44.6615384615385,1226
3.20574162679426,44.6615384615385,1248
3.37320574162679,44.6615384615385,993
3.54066985645933,44.6615384615385,1069
3.70813397129187,44.6615384615385,1240
3.8755980861244,44.6615384615385,1238
4.04306220095694,44.6615384615385,1063
4.21052631578947,44.6615384615385,1058
4.37799043062201,44.6615384615385,348
4.54545454545455,44.6615384615385,376
4.71291866028708,44.6615384615385,456
4.88038277511962,44.6615384615385,166
5.04784688995215,44.6615384615385,394
5.21531100478469,44.6615384615385,659
5.38277511961723,44.6615384615385,827
5.55023923444976,44.6615384615385,879
5.7177033492823,44.6615384615385,1201
5.88516746411483,44.6615384615385,1370
6.05263157894737,44.6615384615385,1537
6.22009569377991,44.6615384615385,1208
6.38755980861244,44.6615384615385,1846
6.55502392344498,44.6615384615385,1654
6.72248803827751,44.6615384615385,1688
6.88995215311005,44.6615384615385,2237
7.05741626794259,44.6615384615385,2301
7.22488038277512,44.6615384615385,1951
7.39234449760766,44.6615384615385,1164
7.55980861244019,44.6615384615385,584
7.72727272727273,44.6615384615385,332
7.89473684210526,44.6615384615385,313
8.0622009569378,44.6615384615385,313
8.22966507177034,44.6615384615385,504
8.39712918660287,44.6615384615385,339
8.56459330143541,44.6615384615385,365
8.73205741626794,44.6615384615385,346
8.89952153110048,44.6615384615385,468
9.06698564593302,44.6615384615385,613
9.23444976076555,44.6615384615385,1023
9.40191387559809,44.6615384615385,905
9.56937799043062,44.6615384615385,1006
9.73684210526316,44.6615384615385,819
9.90430622009569,44.6615384615385,729
10.0717703349282,44.6615384615385,509
10.2392344497608,44.6615384615385,575
10.4066985645933,44.6615384615385,305
10.5741626794258,44.6615384615385,277
10.7416267942584,44.6615384615385,196
10.9090909090909,44.6615384615385,103
11.0765550239234,44.6615384615385,38
11.244019138756,44.6615384615385,29
11.4114832535885,44.6615384615385,22
11.5789473684211,44.6615384615385,18
11.7464114832536,44.6615384615385,6
11.9138755980861,44.6615384615385,2
12.0813397129187,44.6615384615385,-3
12.2488038277512,44.6615384615385,-4
12.4162679425837,44.6615384615385,-8
12.5837320574163,44.6615384615385,-22
12.7511961722488,44.6615384615385,-30
12.9186602870813,44.6615384615385,-36
13.0861244019139,44.6615384615385,-40
13.2535885167464,44.6615384615385,-40
13.4210526315789,44.6615384615385,-42
13.5885167464115,44.6615384615385,-44
13.755980861244,44.6615384615385,-41
13.9234449760766,44.6615384615385,-42
14.0909090909091,44.6615384615385,-47
14.2583732057416,44.6615384615385,-42
14.4258373205742,44.6615384615385,17
14.5933014354067,44.6615384615385,8
14.7607655502392,44.6615384615385,-6
14.9282296650718,44.6615384615385,-3
15.0956937799043,44.6615384615385,615
15.2631578947368,44.6615384615385,972
15.4306220095694,44.6615384615385,645
15.5980861244019,44.6615384615385,601
15.7655502392345,44.6615384615385,691
15.933014354067,44.6615384615385,1058
16.1004784688995,44.6615384615385,822
16.2679425837321,44.6615384615385,602
16.4354066985646,44.6615384615385,853
16.6028708133971,44.6615384615385,985
16.7703349282297,44.6615384615385,701
16.9377990430622,44.6615384615385,392
17.1052631578947,44.6615384615385,788
17.2727272727273,44.6615384615385,546
17.4401913875598,44.6615384615385,604
17.6076555023923,44.6615384615385,493
17.7751196172249,44.6615384615385,517
17.9425837320574,44.6615384615385,314
18.11004784689,44.6615384615385,314
18.2775119617225,44.6615384615385,316
18.444976076555,44.6615384615385,325
18.6124401913876,44.6615384615385,289
18.7799043062201,44.6615384615385,374
18.9473684210526,44.6615384615385,439
19.1148325358852,44.6615384615385,354
19.2822966507177,44.6615384615385,209
19.4497607655502,44.6615384615385,120
19.6172248803828,44.6615384615385,235
19.7846889952153,44.6615384615385,138
19.9521531100478,44.6615384615385,140
20.1196172248804,44.6615384615385,109
20.2870813397129,44.6615384615385,91
20.4545454545455,44.6615384615385,170
20.622009569378,44.6615384615385,246
20.7894736842105,44.6615384615385,210
20.9569377990431,44.6615384615385,170
21.1244019138756,44.6615384615385,84
21.2918660287081,44.6615384615385,81
21.4593301435407,44.6615384615385,110
21.6267942583732,44.6615384615385,185
21.7942583732057,44.6615384615385,327
21.9617224880383,44.6615384615385,367
22.1291866028708,44.6615384615385,341
22.2966507177034,44.6615384615385,473
22.4641148325359,44.6615384615385,395
22.6315789473684,44.6615384615385,286
22.799043062201,44.6615384615385,101
