especes;LON;LAT
Mobula mobular ;6.4;42.65
Mobula mobular ;6.42;42.67
Mobula mobular ;5.9;42.72
Mobula mobular ;6.13;42.53
Mobula mobular ;5.87;42.48
Mobula mobular ;5.83;42.57
Mobula mobular ;5.9;42.47
Mobula mobular ;5.92;42.45
Mobula mobular ;7.78;43.18
Mobula mobular ;6.23;42.52
Mobula mobular ;7.81;43.18
Mobula mobular ;8.05;43.13
Mobula mobular ;6.83;42.91
Mobula mobular ;6.41;42.35
Mobula mobular ;5.81;42.7
Mobula mobular ;5.78;42.66
Mobula mobular ;5.38;42.58
Mobula mobular ;7.68;43.03
Mobula mobular ;7.58;43.03
Mobula mobular ;5.38;42.65
Mobula mobular ;6.43;42.56
Mobula mobular ;7.85;43.25
Mobula mobular ;5.23;42.57
Mobula mobular ;5.21;42.57
Mobula mobular ;5.21;42.57
Mobula mobular ;5.23;42.57
Mobula mobular ;7.3778;42.4533
Prionace glauca ;3.24361;42.79556
Prionace glauca ;3.46722;42.89361
Prionace glauca ;3.24944;42.81583
Prionace glauca ;3.48944;43.30278
Prionace glauca ;3.24944;42.81583
Prionace glauca ;3.24944;42.81583
Prionace glauca ;3.24361;42.79556
Prionace glauca ;3.29806;43.19861
Prionace glauca ;3.32667;43.06861
Prionace glauca ;3.21278;42.80889
Prionace glauca ;3.48944;43.30278
Prionace glauca ;3.29806;43.19861
Prionace glauca ;3.3625;43.07056
Prionace glauca ;NA;NA
Prionace glauca ;3.65833;43.34333
Prionace glauca ;3.26528;43.37083
Prionace glauca ;3.195;42.59056
Prionace glauca ;3.20056;42.72306
Prionace glauca ;3.20056;42.72306
Prionace glauca ;3.39417;42.59861
Prionace glauca ;3.225;42.82083
Prionace glauca ;3.99972;43.25444
Prionace glauca ;NA;NA
Prionace glauca ;3.47417;42.88
Prionace glauca ;3.225;42.82083
Prionace glauca ;3.225;42.82083
Prionace glauca ;NA;NA
Prionace glauca ;3.43611;42.83417
Prionace glauca ;3.93694;43.34
Prionace glauca ;3.17278;42.635
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;3.43167;42.87972
Prionace glauca ;3.30528;43.11056
Prionace glauca ;10.64444;43.82278
Prionace glauca ;10.02306;43.77111
Prionace glauca ;10.03444;43.7675
Prionace glauca ;3.13056;42.79722
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;3.61194;42.88806
Prionace glauca ;3.47167;42.83694
Prionace glauca ;3.50639;42.62333
Prionace glauca ;3.34361;42.88694
Prionace glauca ;3.33722;43.73722
Prionace glauca ;3.56444;42.63083
Prionace glauca ;3.45472;42.71611
Prionace glauca ;3.53694;42.56333
Prionace glauca ;3.28361;42.72944
Prionace glauca ;3.08944;42.74472
Prionace glauca ;3.23194;42.78556
Prionace glauca ;3.23194;42.78556
Prionace glauca ;3.23194;42.78556
Prionace glauca ;3.08944;42.74472
Prionace glauca ;3.20944;42.70417
Prionace glauca ;3.40639;42.77472
Prionace glauca ;3.40056;42.51889
Prionace glauca ;3.40639;42.85278
Prionace glauca ;3.15889;42.65056
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;3.80972;43.27361
Prionace glauca ;4.92444;43.51444
