lon;lat
9.058889;42.66277
9.0589;42.661
9.05888;41.66111
7.298333;42.316944
6.93;42.88
7.13;42.92
7.04;42.86
7;42.9
6.17;42.48
6.43;42.48
7.45;42.95
5.98;42.62
7.37;43.1
7.5;43.2
6.47;42.42
5.97;42.58
6;42.47
7.57;43.12
7.62;43.13
7.02;42.98
6.43;42.43
6.87;42.95
6.92;42.92
6.15;42.65
5.77;42.58
7;42.72
6.62;42.52
6.25;42.65
6.4;42.65
6.42;42.67
5.9;42.72
6.13;42.53
5.87;42.48
5.83;42.57
5.9;42.47
5.92;42.45
7.78;43.18
6.23;42.52
7.81;43.18
8.05;43.13
6.83;42.91
6.41;42.35
5.81;42.7
5.78;42.66
5.38;42.58
7.68;43.03
7.58;43.03
5.38;42.65
6.43;42.56
7.85;43.25
5.23;42.57
5.21;42.57
5.21;42.57
5.23;42.57
7.3778;42.4533
3.24361;42.79556
3.46722;42.89361
3.24944;42.81583
3.48944;43.30278
3.24944;42.81583
3.24944;42.81583
3.24361;42.79556
3.29806;43.19861
3.32667;43.06861
3.21278;42.80889
3.48944;43.30278
3.29806;43.19861
3.3625;43.07056
NA;NA
3.65833;43.34333
3.26528;43.37083
3.195;42.59056
3.20056;42.72306
3.20056;42.72306
3.39417;42.59861
3.225;42.82083
3.99972;43.25444
NA;NA
3.47417;42.88
3.225;42.82083
3.225;42.82083
NA;NA
3.43611;42.83417
3.93694;43.34
3.17278;42.635
NA;NA
NA;NA
NA;NA
NA;NA
3.43167;42.87972
3.30528;43.11056
10.64444;43.82278
10.02306;43.77111
10.03444;43.7675
3.13056;42.79722
NA;NA
NA;NA
3.61194;42.88806
3.47167;42.83694
3.50639;42.62333
3.34361;42.88694
3.33722;43.73722
3.56444;42.63083
3.45472;42.71611
3.53694;42.56333
3.28361;42.72944
3.08944;42.74472
3.23194;42.78556
3.23194;42.78556
3.23194;42.78556
3.08944;42.74472
3.20944;42.70417
3.40639;42.77472
3.40056;42.51889
3.40639;42.85278
3.15889;42.65056
NA;NA
NA;NA
NA;NA
NA;NA
3.80972;43.27361
4.92444;43.51444
3.55417;43.19028
3.07556;42.76667
3.47361;43.34389
3.27778;42.68333
3.19028;42.73111
3.19028;42.73111
